distance_km,duration_min,avg_pace_min_per_km,pace_std,elev_gain_m,filename,label
16.360408767556155,88.8,5.427737244322199,31.451956421260846,111.79999999999998,10-1-tempo.gpx,workout
17.852518110954893,98.91666666666667,5.540768313572983,7.334920203483773,170.79999999999782,10-6-easy.gpx,easy
15.293783373507962,100.71666666666667,6.5854644470202865,8.543031487777974,91.40000000000009,10-7-workout.gpx,workout
11.37532290299895,59.333333333333336,5.215969150000208,7.610484550683004,127.80000000000004,10-9-easy.gpx,easy
25.84857047287568,121.66666666666667,4.706901172516994,2.0587433513193654,266.1999999999951,10-11-longRun.gpx,long_run
8.088215169570582,28.483333333333334,3.521584519721125,2.0009319648653903,59.40000000000009,10-18-race.gpx,race
9.79205856139792,49.333333333333336,5.038096231145342,10.61979311415863,88.19999999999995,10-20-easy.gpx,easy
11.21905463557975,72.88333333333334,6.496388127230745,21.247515688296286,85.99999999999989,10-21-workout.gpx,workout
12.850013248380712,64.45,5.015559031281282,5.565136301970487,130.59999999999968,10-22-easy.gpx,easy
11.802578641136908,95.61666666666666,8.101336968296293,28.889294622577676,209.9999999999959,10-24-easy.gpx,easy
23.161486655324996,122.33333333333333,5.281756527714425,9.28577158990208,260.79999999999575,10-25-longRun.gpx,long_run
9.865617294482078,49.916666666666664,5.059659743195742,3.143618589133252,169.59999999999798,10-27-easy.gpx,easy
13.085919693476093,74.6,5.700783876672526,10.941226161409473,72.40000000000003,10-28-tempo.gpx,workout
8.219284078002781,41.18333333333333,5.010574271736394,102.48691489184438,56.000000000000135,10-30-easy.gpx,easy
7.868382205875418,36.63333333333333,4.655764345811617,0.4058297433472515,60.60000000000003,10-31-easy.gpx,easy
8.091521058046537,27.666666666666668,3.419217038204926,0.38366318246172826,100.39999999999995,11-1-race.gpx,race
11.276655050568383,56.266666666666666,4.9896592929683194,18.635271211215485,108.00000000000003,11-3-easy.gpx,easy
11.490961937416445,70.65,6.148310331613935,30.46386546381737,33.599999999999966,11-4-intervals.gpx,workout
11.191409925585976,57.416666666666664,5.130422980521854,4.404945778527372,181.99999999999784,11-5-easy.gpx,easy
12.863593951449786,64.28333333333333,4.997307406931039,3.6363641832276734,270.99999999999784,11-6-hills.gpx,workout
